First Name,Last Name,Constituency,Political Affiliation,Province,Honorific Title,Gender,Row,Column,PID,CID
Luc,Thériault,Montcalm,Bloc Québécois,,Quebec,,M,0,38,88552,6
David,Tilson,Dufferin—Caledon,Conservative,,Ontario,,M,3,5,25461,8781
Hunter,Tootoo,Nunavut,Independent,Hon.,Nunavut,,M,0,6,1665,8
Brad,Trost,Saskatoon—University,Conservative,,Saskatchewan,,M,0,30,25462,8781
Justin,Trudeau,Papineau,Liberal,Right Hon.,Quebec,,M,7,20,58733,4
Karine,Trudel,Jonquière,NDP,,Quebec,,F,2,47,88488,3
Dave,Van Kesteren,Chatham-Kent—Leamington,Conservative,,Ontario,,M,2,14,31765,8781
Peter,Van Loan,York—Simcoe,Conservative,Hon.,Ontario,,M,4,32,25465,8781
Dan,Vandal,Saint Boniface—Saint Vital,Liberal,,Manitoba,,M,0,3,89045,4
Anita,Vandenbeld,Ottawa West—Nepean,Liberal,,Ontario,,F,8,45,71738,4
Adam,Vaughan,Spadina—Fort York,Liberal,,Ontario,,M,9,36,54434,4
Karen,Vecchio,Elgin—Middlesex—London,Conservative,,Ontario,,F,3,21,88742,8781
Arnold,Viersen,Peace River—Westlock,Conservative,,Alberta,,M,0,22,89211,8781
Arif,Virani,Parkdale—High Park,Liberal,,Ontario,,M,8,33,88910,4
Cathay,Wagantall,Yorkton—Melville,Conservative,,Saskatchewan,,F,0,23,89098,8781
Mark,Warawa,Langley—Aldergrove,Conservative,,British Columbia,,M,3,8,25467,8781
Chris,Warkentin,Grande Prairie—Mackenzie,Conservative,,Alberta,,M,3,18,35886,8781
Dianne L.,Watts,South Surrey—White Rock,Conservative,,British Columbia,,F,4,23,89333,8781
Kevin,Waugh,Saskatoon—Grasswood,Conservative,,Saskatchewan,,M,0,24,89084,8781
Len,Webber,Calgary Confederation,Conservative,,Alberta,,M,0,26,89116,8781
Erin,Weir,Regina—Lewvan,NDP,,Saskatchewan,,M,1,33,31796,3
Nick,Whalen,St. John's East,Liberal,,Newfoundland and Labrador,,M,0,4,88296,4
Jonathan,Wilkinson,North Vancouver,Liberal,,British Columbia,,M,8,35,89300,4
Jody,Wilson-Raybould,Vancouver Granville,Liberal,Hon.,British Columbia,,F,7,26,89494,4
Alice,Wong,Richmond Centre,Conservative,Hon.,British Columbia,,F,3,24,30812,8781
Borys,Wrzesnewskyj,Etobicoke Centre,Liberal,,Ontario,,M,9,39,25468,4
Kate,Young,London West,Liberal,,Ontario,,F,9,23,88832,4
David,Yurdiga,Fort McMurray—Cold Lake,Conservative,,Alberta,,M,1,12,86260,8781
Salma,Zahid,Scarborough Centre,Liberal,,Ontario,,F,0,5,88950,4
Bob,Zimmer,Prince George—Peace River—Northern Rockies,Conservative,,British Columbia,,M,1,6,72035,8781
